dataset,method,transformation,f1_mean,f1_std,precision,recall
abt-buy,jaro_winkler,original,0.08527684235819528,0.00677155591226237,0.27036680539516433,0.0508747226489162
abt-buy,jaro_winkler,ciphered_letters,0.08527684235819528,0.00677155591226237,0.27036680539516433,0.0508747226489162
abt-buy,jaro_winkler,ciphered_words,0.05194227595752053,0.0207181725783525,0.09985337702745553,0.03512971496842464
abt-buy,jaro_winkler,scrambled,0.07907802194016172,0.014844248809313168,0.2512199464943367,0.04716248506571087
abt-buy,levenshtein,original,0.15376090587899482,0.031108896082859543,0.18999859676219358,0.1405657962109575
abt-buy,levenshtein,ciphered_letters,0.15376090587899482,0.031108896082859543,0.18999859676219358,0.1405657962109575
abt-buy,levenshtein,ciphered_words,0.11986407775331438,0.03179451267751343,0.1590917667549621,0.09620242362177847
abt-buy,levenshtein,scrambled,0.17309979914686632,0.024751475585565817,0.19696600237572698,0.154463218979348
abt-buy,llm,original,0.9277988351204058,0.006028919923213669,0.9669974768277456,0.8917562724014336
abt-buy,llm,ciphered_letters,0.7785319802545483,0.02546726831359756,0.8481533209186841,0.7196535244922342
abt-buy,llm,ciphered_words,0.5104424494843421,0.016857689847865218,0.6563816461004313,0.41813022700119473
abt-buy,llm,scrambled,0.6011810884859973,0.015636843559303483,0.7426969136767262,0.5050648574842123
abt-buy,monge_elkan,original,0.369218680010612,0.020725813016617866,0.42859915141111815,0.3330773169482847
abt-buy,monge_elkan,ciphered_letters,0.369218680010612,0.020725813016617866,0.42859915141111815,0.3330773169482847
abt-buy,monge_elkan,ciphered_words,0.2887096181679679,0.021511756169358093,0.3276143423957118,0.2580901177675371
abt-buy,monge_elkan,scrambled,0.38243732548068593,0.013482807823132777,0.4155052611917417,0.354305342208568
abt-buy,openai_embeddings,original,0.7972380128693278,0.008706223418950198,0.7979826305782795,0.7964968424645844
abt-buy,openai_embeddings,ciphered_letters,0.4037992891837555,0.028148984079045786,0.43974764440256325,0.37925840587130905
abt-buy,openai_embeddings,ciphered_words,0.4215910611534858,0.012608293024714883,0.4320201324677028,0.41166581327871654
abt-buy,openai_embeddings,scrambled,0.507148429716225,0.029897514383296138,0.5173833566861489,0.49770438641406384
abt-buy,sentence_transformer,original,0.6274683107947834,0.02577122768316945,0.6277618412539643,0.6271761392729135
abt-buy,sentence_transformer,ciphered_letters,0.16170845013653265,0.022557028048973887,0.1748040407407318,0.15077658303464755
abt-buy,sentence_transformer,ciphered_words,0.37635316013335274,0.024606518647109492,0.4297022551092319,0.3348907663423792
abt-buy,sentence_transformer,scrambled,0.35894247641358745,0.0200600654716767,0.40513092588457045,0.3228323946065882
abt-buy,tfidf,original,0.7601444408721229,0.018942952116721413,0.7608225543257199,0.7594726062467998
abt-buy,tfidf,ciphered_letters,0.7462555519832339,0.01750038054455779,0.7469336654368309,0.745583717357911
abt-buy,tfidf,ciphered_words,0.7513850868620738,0.02067885982320219,0.7535100662496881,0.7492831541218639
abt-buy,tfidf,scrambled,0.745329626057308,0.017885896340345032,0.7460077395109049,0.744657791431985
abt-buy,soft_tfidf,original,0.7413170647097749,0.01940690560663648,0.741668869598352,0.7409668885475338
abt-buy,soft_tfidf,ciphered_letters,0.730628598436023,0.01896696930299496,0.7323298880275624,0.7289383853899982
abt-buy,soft_tfidf,ciphered_words,0.7334015216373148,0.01951024072315076,0.7450230527594635,0.7224483700290151
abt-buy,soft_tfidf,scrambled,0.7622333162655743,0.025317374178836134,0.7622333162655743,0.7622333162655743
amazon-google,jaro_winkler,original,0.488078761513273,0.03806758407391642,0.5638690945513722,0.4303357168828021
amazon-google,jaro_winkler,ciphered_letters,0.488078761513273,0.03806758407391642,0.5638690945513722,0.4303357168828021
amazon-google,jaro_winkler,ciphered_words,0.4827441005402508,0.04093505733936274,0.5637314300567855,0.42225992808952456
amazon-google,jaro_winkler,scrambled,0.4887310297484938,0.051613565721933194,0.5644333767989954,0.43123257786934915
amazon-google,levenshtein,original,0.5551437182006079,0.05095743240668923,0.6328167538459384,0.49593584616006137
amazon-google,levenshtein,ciphered_letters,0.5551437182006079,0.05095743240668923,0.6328167538459384,0.49593584616006137
