method,transformation,dataset,precision,recall,f1,tp,fp,fn,total_records,true_matches,predicted_matches,cost_usd,wall_time_seconds
jaro_winkler,ciphered_letters,abt-buy,0.26570048309178745,0.05087881591119334,0.08540372670807454,55,152,1026,1081,1081,207,,
jaro_winkler,ciphered_words,abt-buy,0.10133333333333333,0.03515263644773358,0.05219780219780219,38,337,1043,1081,1081,375,,
jaro_winkler,original,abt-buy,0.26570048309178745,0.05087881591119334,0.08540372670807454,55,152,1026,1081,1081,207,,
jaro_winkler,scrambled,abt-buy,0.2524752475247525,0.04717853839037928,0.07950116913484022,51,151,1030,1081,1081,202,,
levenshtein,ciphered_letters,abt-buy,1.0,0.0027752081406105457,0.005535055350553506,3,0,1078,1081,1081,3,,
levenshtein,ciphered_words,abt-buy,1.0,0.0027752081406105457,0.005535055350553506,3,0,1078,1081,1081,3,,
levenshtein,original,abt-buy,1.0,0.0027752081406105457,0.005535055350553506,3,0,1078,1081,1081,3,,
levenshtein,scrambled,abt-buy,1.0,0.0018501387604070306,0.003693444136657433,2,0,1079,1081,1081,2,,
llm,ciphered_letters,abt-buy,0.8493449781659389,0.7197039777983348,0.7791687531296946,778,138,303,1081,1081,916,,
llm,ciphered_words,abt-buy,0.6560232220609579,0.4181313598519889,0.5107344632768361,452,237,629,1081,1081,689,,
llm,original,abt-buy,0.966900702106319,0.8917668825161887,0.9278152069297402,964,33,117,1081,1081,997,,
llm,scrambled,abt-buy,0.746922024623803,0.5050878815911193,0.6026490066225164,546,185,535,1081,1081,731,,
llm_claude,original,abt-buy,0.9959718026183283,0.9148936170212766,0.9537126325940213,989,4,92,1081,1081,993,9.671595000000003,8806.623264074326
llm_gpt4o,original,abt-buy,0.9805068226120858,0.9306197964847364,0.9549121974371143,1006,20,75,1081,1081,1026,6.847422500000002,21716.637193918228
llm_gpt4o_mini_token_fallback,ciphered_letters,abt-buy,0.7277227722772277,0.6799259944495837,0.703012912482066,735,275,346,1081,1081,1010,0.5522558999999996,2040.1042478084564
llm_gpt4o_mini_token_fallback,ciphered_words,abt-buy,0.5855397148676171,0.5319148936170213,0.5574406204556471,575,407,506,1081,1081,982,0.3956816999999997,1825.196753025055
llm_gpt4o_mini_token_fallback,scrambled,abt-buy,0.6754201680672269,0.5948196114708603,0.632562715199213,643,309,438,1081,1081,952,0.50186745,2107.3175241947174
llm_haiku,ciphered_letters,abt-buy,0.9068627450980392,0.513413506012951,0.6556408741878323,555,57,526,1081,1081,612,3.804186399999998,4803.12281703949
llm_haiku,ciphered_words,abt-buy,0.9014084507042254,0.11840888066604996,0.20932134096484056,128,14,953,1081,1081,142,2.9204104,5427.817620038986
llm_haiku,original,abt-buy,0.9921414538310412,0.9343200740055504,0.9623630300142926,1010,8,71,1081,1081,1018,2.6463599999999983,3280.2904109954834
llm_haiku,scrambled,abt-buy,0.8957983193277311,0.49306197964847365,0.6360381861575178,533,62,548,1081,1081,595,3.725163999999996,11400.89759683609
llm_haiku_token_fallback,ciphered_letters,abt-buy,0.926829268292683,0.03515263644773358,0.0677361853832442,38,3,1043,1081,1081,41,4.469206399999995,13093.167607784271
llm_haiku_token_fallback,ciphered_words,abt-buy,1.0,0.0037002775208140612,0.007373271889400922,4,0,1077,1081,1081,4,1.7405511999999985,18161.382364988327
llm_haiku_token_fallback,original,abt-buy,0.970703125,0.9195189639222942,0.9444180522565321,994,30,87,1081,1081,1024,2.7322576000000027,8146.5534698963165
llm_haiku_token_fallback,scrambled,abt-buy,0.0,0.0,0.0,0,0,1081,1081,1081,0,0.0,186.21414184570312
monge_elkan,ciphered_letters,abt-buy,0.5252032520325203,0.29879740980573544,0.38089622641509435,323,292,758,1081,1081,615,,
monge_elkan,ciphered_words,abt-buy,0.3274647887323944,0.25809435707678074,0.2886704604242111,279,573,802,1081,1081,852,,
monge_elkan,original,abt-buy,0.5252032520325203,0.29879740980573544,0.38089622641509435,323,292,758,1081,1081,615,,
monge_elkan,scrambled,abt-buy,0.4154013015184382,0.35430157261794637,0.38242636045931105,383,539,698,1081,1081,922,,
openai_embeddings,ciphered_letters,abt-buy,0.42048780487804877,0.3987049028677151,0.40930674264007594,431,594,650,1081,1081,1025,,
openai_embeddings,ciphered_words,abt-buy,0.4320388349514563,0.4116558741905643,0.4216011369019422,445,585,636,1081,1081,1030,,
openai_embeddings,original,abt-buy,0.799074074074074,0.7983348751156337,0.7987043035631651,863,217,218,1081,1081,1080,,
openai_embeddings,scrambled,abt-buy,0.5132075471698113,0.5032377428307123,0.5081737505838394,544,516,537,1081,1081,1060,,
sentence_transformer,ciphered_letters,abt-buy,0.1805094130675526,0.150786308973173,0.16431451612903228,163,740,918,1081,1081,903,,
sentence_transformer,ciphered_words,abt-buy,0.4294187425860024,0.3348751156336725,0.37629937629937626,362,481,719,1081,1081,843,,
sentence_transformer,original,abt-buy,0.6305970149253731,0.6253469010175763,0.62796098467255,676,396,405,1081,1081,1072,,
sentence_transformer,scrambled,abt-buy,0.41408114558472553,0.3209990749306198,0.361646690984888,347,491,734,1081,1081,838,,
soft_tfidf,ciphered_letters,abt-buy,0.8056872037914692,0.1572617946345976,0.26315789473684215,170,41,911,1081,1081,211,,
soft_tfidf,ciphered_words,abt-buy,0.7872340425531915,0.1026827012025902,0.18166939443535188,111,30,970,1081,1081,141,,
soft_tfidf,original,abt-buy,0.8056872037914692,0.1572617946345976,0.26315789473684215,170,41,911,1081,1081,211,,
soft_tfidf,scrambled,abt-buy,0.781021897810219,0.09898242368177614,0.17569786535303777,107,30,974,1081,1081,137,,
tfidf,ciphered_letters,abt-buy,0.9246575342465754,0.37465309898242366,0.533245556287031,405,33,676,1081,1081,438,,
tfidf,ciphered_words,abt-buy,0.9255079006772009,0.3792784458834413,0.5380577427821522,410,33,671,1081,1081,443,,
tfidf,original,abt-buy,0.9249448123620309,0.3876040703052729,0.546284224250326,419,34,662,1081,1081,453,,
tfidf,scrambled,abt-buy,0.9225512528473804,0.37465309898242366,0.5328947368421053,405,34,676,1081,1081,439,,
jaro_winkler,ciphered_letters,amazon-google,0.5635294117647058,0.4303683737646002,0.48802852776362704,479,371,634,1113,1113,850,,
jaro_winkler,ciphered_words,amazon-google,0.563855421686747,0.42048517520215634,0.4817292846114256,468,362,645,1113,1113,830,,
jaro_winkler,original,amazon-google,0.5635294117647058,0.4303683737646002,0.48802852776362704,479,371,634,1113,1113,850,,
jaro_winkler,scrambled,amazon-google,0.5633802816901409,0.431266846361186,0.4885496183206107,480,372,633,1113,1113,852,,
levenshtein,ciphered_letters,amazon-google,0.7065693430656934,0.4348607367475292,0.5383759733036707,484,201,629,1113,1113,685,,
levenshtein,ciphered_words,amazon-google,0.6798179059180577,0.4025157232704403,0.5056433408577878,448,211,665,1113,1113,659,,
levenshtein,original,amazon-google,0.7065693430656934,0.4348607367475292,0.5383759733036707,484,201,629,1113,1113,685,,
